index,noise_type,snr_db,original_index
13571,sp,-10,24973
13572,sp,-10,5985
13573,burst,-30,29737
13574,sp,-25,36418
13575,sp,-15,10719
13576,gaussian,-30,39722
13577,burst,-20,24753
13578,burst,-30,7373
13579,gaussian,-25,40115
13580,sp,-20,1542
13581,sp,-25,3551
13582,sp,-25,8365
13583,gaussian,-30,4542
13584,sp,-20,10428
13585,gaussian,-25,33027
13586,burst,-30,27562
13587,sp,-20,26922
13588,sp,-20,43370
13589,burst,-20,13530
13590,sp,-25,48533
13591,sp,-15,3786
13592,gaussian,-25,40735
13593,burst,-15,11117
13594,sp,-30,1966
13595,burst,-20,33130
13596,sp,-20,41503
13597,gaussian,-15,19674
13598,sp,-10,29867
13599,sp,-20,1193
13600,gaussian,-30,27328
13601,burst,-25,29459
13602,sp,-30,36318
13603,sp,-20,2513
13604,gaussian,-15,5887
13605,gaussian,-10,2797
13606,gaussian,-25,42374
13607,sp,-10,25423
13608,sp,-20,18497
13609,sp,-20,5350
13610,gaussian,-10,31212
13611,sp,-20,48870
13612,gaussian,-25,7570
13613,sp,-25,13697
13614,burst,-15,24186
13615,sp,-20,25287
13616,burst,-10,4797
13617,burst,-10,42177
13618,sp,-20,39632
13619,burst,-20,10375
13620,sp,-20,12230
13621,burst,-15,3342
13622,burst,-25,38918
13623,gaussian,-25,41603
13624,burst,-20,9847
13625,burst,-10,15417
13626,burst,-25,11343
13627,sp,-30,41332
13628,gaussian,-25,34112
13629,sp,-15,440
13630,gaussian,-25,15836
13631,gaussian,-10,30289
13632,gaussian,-10,16007
13633,gaussian,-30,22159
13634,gaussian,-10,3484
13635,sp,-30,16477
13636,sp,-20,2136
13637,burst,-20,26051
13638,burst,-20,523
13639,sp,-20,34204
13640,gaussian,-20,41374
13641,sp,-30,40786
13642,burst,-20,35826
13643,sp,-30,49345
13644,gaussian,-25,8074
13645,gaussian,-20,44584
13646,sp,-20,49825
13647,sp,-10,47637
13648,burst,-10,38988
13649,burst,-30,13206
13650,gaussian,-20,12673
13651,gaussian,-15,36652
13652,burst,-10,42969
13653,sp,-15,12259
13654,burst,-30,44784
13655,gaussian,-20,11690
13656,burst,-30,49040
13657,gaussian,-30,3833
13658,burst,-10,33243
13659,sp,-20,29882
13660,burst,-20,36935
13661,sp,-10,45500
13662,gaussian,-20,16690
13663,burst,-25,16943
13664,sp,-30,27351
13665,gaussian,-10,9812
13666,gaussian,-30,11849
13667,burst,-20,7941
13668,burst,-25,35206
13669,sp,-15,31440
13670,burst,-30,46978
13671,burst,-30,46614
13672,gaussian,-10,32013
13673,burst,-20,5333
13674,burst,-20,12677
13675,sp,-15,2882
13676,burst,-30,47124
13677,gaussian,-10,7333
13678,gaussian,-20,47890
13679,burst,-25,44764
13680,sp,-25,46758
13681,sp,-25,41563
13682,sp,-20,5619
13683,sp,-25,9493
13684,gaussian,-20,35020
13685,sp,-20,46073
13686,sp,-20,31577
13687,gaussian,-20,11485
13688,gaussian,-10,32693
13689,gaussian,-10,49502
13690,gaussian,-30,32124
13691,sp,-15,48645
13692,sp,-10,7099
13693,sp,-10,49357
13694,gaussian,-20,49546
13695,burst,-30,22569
13696,sp,-20,4764
13697,burst,-10,30591
13698,burst,-20,31639
13699,gaussian,-15,4525
13700,burst,-20,24737
13701,burst,-20,9419
13702,gaussian,-20,37232
13703,sp,-20,44393
13704,sp,-15,29189
13705,sp,-10,38511
13706,gaussian,-15,13534
13707,gaussian,-10,9959
13708,sp,-30,46144
13709,gaussian,-15,35597
13710,gaussian,-30,22364
13711,gaussian,-10,2503
13712,sp,-25,12726
13713,burst,-15,19252
13714,gaussian,-30,21492
13715,sp,-30,9719
13716,burst,-10,31361
13717,gaussian,-10,9850
13718,gaussian,-30,47075
13719,burst,-20,36849
13720,sp,-15,8354
13721,gaussian,-30,7466
13722,gaussian,-20,41193
13723,sp,-15,41275
13724,sp,-15,15995
13725,gaussian,-30,45891
13726,burst,-30,7076
13727,sp,-10,5837
13728,burst,-20,23557
13729,sp,-20,19902
13730,gaussian,-30,8930
13731,burst,-20,46639
13732,burst,-30,23195
13733,sp,-10,11407
13734,gaussian,-10,43537
13735,burst,-30,19984
13736,gaussian,-20,33660
13737,burst,-30,31214
13738,gaussian,-25,43550
13739,sp,-30,29901
13740,sp,-10,2763
13741,gaussian,-20,5755
13742,burst,-10,28992
13743,gaussian,-20,26022
13744,gaussian,-25,48394
13745,sp,-30,33342
13746,sp,-10,38042
13747,gaussian,-15,46682
13748,sp,-20,39634
13749,burst,-30,18840
13750,burst,-25,39291
13751,gaussian,-10,48826
13752,gaussian,-15,11429
13753,burst,-30,30759
13754,burst,-15,20999
13755,gaussian,-30,22998
13756,burst,-20,30645
13757,sp,-15,25514
13758,sp,-10,34305
13759,gaussian,-15,47414
13760,burst,-20,15102
13761,sp,-30,23441
13762,gaussian,-25,44832
13763,burst,-25,42186
13764,burst,-30,6577
13765,sp,-10,9751
13766,gaussian,-25,24393
13767,burst,-25,1704
13768,burst,-25,40240
13769,sp,-20,38954
13770,sp,-20,34384
13771,gaussian,-20,44599
13772,sp,-20,45976
13773,gaussian,-15,23118
13774,sp,-15,541
13775,burst,-15,20349
13776,gaussian,-15,42479
13777,gaussian,-25,45649
13778,burst,-25,14346
13779,gaussian,-25,46209
13780,gaussian,-20,25353
13781,gaussian,-10,24990
13782,burst,-10,25304
13783,burst,-20,5798
13784,sp,-15,12107
13785,gaussian,-25,15555
13786,burst,-30,33453
13787,sp,-20,4154
13788,sp,-10,32959
13789,gaussian,-30,10252
13790,burst,-30,20870
13791,sp,-30,41126
13792,gaussian,-30,16719
13793,burst,-20,7622
13794,burst,-25,33687
13795,sp,-10,35244
13796,burst,-30,22625
13797,burst,-25,24485
13798,sp,-10,7492
13799,sp,-20,19434
13800,sp,-15,49972
13801,burst,-30,4264
13802,burst,-20,44987
13803,burst,-30,24236
13804,burst,-15,37544
13805,sp,-30,3539
13806,gaussian,-15,47576
13807,burst,-15,14657
13808,gaussian,-30,20138
13809,burst,-30,23533
13810,gaussian,-15,31232
13811,gaussian,-10,41528
13812,gaussian,-20,32724
13813,sp,-30,36239
13814,sp,-15,8122
13815,burst,-15,27107
13816,sp,-20,38591
13817,gaussian,-20,28846
13818,gaussian,-20,6016
13819,gaussian,-25,44021
13820,gaussian,-20,7964
13821,burst,-10,23936
13822,gaussian,-20,34037
13823,burst,-20,43672
13824,sp,-25,9709
13825,sp,-30,48118
13826,sp,-10,3478
13827,sp,-20,28131
13828,sp,-15,30625
13829,sp,-30,27859
13830,burst,-10,49580
13831,burst,-30,32855
13832,burst,-15,22791
13833,gaussian,-15,35368
13834,gaussian,-25,49770
13835,gaussian,-25,2725
13836,burst,-25,43850
13837,sp,-15,11187
13838,sp,-10,34295
13839,sp,-30,19006
13840,sp,-30,27310
13841,sp,-15,29188
13842,sp,-10,40232
13843,sp,-20,16600
13844,burst,-15,10735
13845,gaussian,-25,18058
13846,burst,-10,46269
13847,sp,-15,28924
13848,burst,-25,18249
13849,burst,-15,11053
13850,gaussian,-25,42459
13851,gaussian,-30,15621
13852,sp,-20,29757
13853,burst,-10,17822
13854,sp,-15,45222
13855,gaussian,-15,31306
13856,burst,-25,2760
13857,gaussian,-20,25658
13858,gaussian,-30,27680
13859,gaussian,-15,16259
13860,sp,-20,3198
13861,gaussian,-15,8805
13862,gaussian,-15,41407
13863,gaussian,-20,44618
13864,gaussian,-20,25457
13865,gaussian,-15,13459
13866,burst,-15,18603
13867,sp,-20,17989
13868,sp,-25,7642
13869,sp,-10,35700
13870,burst,-10,1261
13871,sp,-25,41416
13872,burst,-30,12439
13873,sp,-30,14185
13874,gaussian,-30,37465
13875,burst,-30,38714
13876,burst,-15,39261
13877,burst,-30,12806
13878,gaussian,-30,41250
13879,gaussian,-25,4050
13880,sp,-25,47356
13881,gaussian,-30,46207
13882,sp,-20,24784
13883,burst,-20,16405
13884,gaussian,-15,34497
13885,gaussian,-10,10603
13886,sp,-25,9822
13887,burst,-30,40630
13888,sp,-15,6191
13889,burst,-25,49770
13890,gaussian,-25,47922
13891,burst,-25,15229
13892,burst,-10,27510
13893,gaussian,-30,46487
13894,sp,-30,16798
13895,burst,-20,35316
13896,gaussian,-30,35740
13897,sp,-20,22631
13898,burst,-10,16541
13899,gaussian,-20,37837
13900,sp,-10,18931
13901,sp,-20,19113
13902,gaussian,-10,21431
13903,burst,-20,47617
13904,sp,-25,23872
13905,gaussian,-30,15450
13906,gaussian,-10,2127
13907,burst,-25,36186
13908,gaussian,-30,7865
13909,burst,-15,3981
13910,sp,-25,10000
13911,burst,-10,39458
13912,sp,-20,34635
13913,gaussian,-10,24227
13914,burst,-30,23722
13915,burst,-20,36677
13916,gaussian,-20,31938
13917,sp,-15,6771
13918,burst,-15,30592
13919,gaussian,-25,22185
13920,burst,-25,3310
13921,burst,-20,35071
13922,burst,-20,19735
13923,gaussian,-30,3556
13924,burst,-15,39619
13925,sp,-25,16500
13926,sp,-15,10098
13927,sp,-20,1152
13928,sp,-30,22550
13929,burst,-20,39615
13930,sp,-30,7518
13931,gaussian,-10,33581
13932,sp,-20,9293
13933,burst,-15,44413
13934,gaussian,-10,24612
13935,sp,-15,43796
13936,sp,-10,40422
13937,gaussian,-30,40132
13938,gaussian,-20,17844
13939,gaussian,-25,4774
13940,burst,-10,40122
13941,gaussian,-10,3508
13942,gaussian,-15,40202
13943,gaussian,-30,49409
13944,gaussian,-20,9551
13945,sp,-20,38170
13946,sp,-15,47861
13947,sp,-20,26730
13948,gaussian,-25,23932
13949,burst,-15,13070
13950,sp,-20,20440
13951,burst,-10,43025
13952,sp,-20,41697
13953,sp,-10,23729
13954,sp,-15,26031
13955,burst,-20,2520
13956,sp,-30,48029
13957,sp,-20,6549
13958,burst,-15,7746
13959,burst,-20,10882
13960,gaussian,-30,45659
13961,burst,-30,45154
13962,gaussian,-20,20086
13963,gaussian,-25,15281
13964,gaussian,-20,23446
13965,burst,-10,8117
13966,gaussian,-20,9786
13967,burst,-30,19869
13968,sp,-10,47378
13969,burst,-30,14793
13970,gaussian,-15,1274
13971,gaussian,-15,1420
13972,gaussian,-15,45357
13973,sp,-10,7980
13974,burst,-25,5531
13975,gaussian,-30,40539
13976,sp,-20,22787
13977,sp,-10,14610
13978,gaussian,-20,16153
13979,sp,-30,19930
13980,gaussian,-15,7572
13981,gaussian,-10,49599
13982,sp,-25,17055
13983,gaussian,-25,17153
13984,gaussian,-10,42442
13985,burst,-15,7546
13986,sp,-15,17734
13987,sp,-15,40674
13988,burst,-20,48022
13989,burst,-15,39275
13990,sp,-25,12134
13991,sp,-15,36158
13992,gaussian,-30,17988
13993,gaussian,-30,49460
13994,burst,-20,7158
13995,gaussian,-10,17728
13996,burst,-30,12496
13997,burst,-15,24681
13998,burst,-10,23744
13999,gaussian,-15,7782
14000,sp,-15,13299
14001,burst,-20,22675
14002,gaussian,-25,4873
14003,gaussian,-10,10065
14004,sp,-30,47182
14005,sp,-30,16649
14006,burst,-20,31653
14007,sp,-30,23180
14008,gaussian,-15,35733
14009,sp,-10,28539
14010,burst,-25,7594
14011,sp,-30,37650
14012,gaussian,-30,37190
14013,burst,-10,3764
14014,gaussian,-15,8067
14015,sp,-30,12041
14016,sp,-15,46097
14017,burst,-30,27227
14018,sp,-15,6
14019,gaussian,-15,38691
14020,burst,-15,33194
14021,sp,-25,17351
14022,gaussian,-20,29705
14023,gaussian,-25,39062
14024,sp,-30,4229
14025,sp,-30,49207
14026,gaussian,-30,41492
14027,burst,-15,3907
14028,sp,-20,33204
14029,sp,-15,4507
14030,gaussian,-25,26838
14031,gaussian,-20,28439
14032,burst,-15,32013
14033,burst,-30,3963
14034,burst,-15,30022
14035,gaussian,-15,30437
14036,sp,-20,47436
14037,burst,-10,2921
14038,sp,-25,35654
14039,burst,-10,1132
14040,gaussian,-30,21182
14041,burst,-20,8825
14042,sp,-20,4768
14043,gaussian,-10,20730
14044,burst,-25,44938
14045,burst,-25,18763
14046,sp,-20,7204
14047,gaussian,-10,22414
14048,gaussian,-30,24602
14049,burst,-20,18958
14050,burst,-30,29657
14051,gaussian,-20,801
14052,gaussian,-30,44496
14053,burst,-30,11765
14054,sp,-20,16676
14055,sp,-10,49593
14056,gaussian,-15,12188
14057,sp,-10,34079
14058,gaussian,-10,49043
14059,gaussian,-25,12160
14060,gaussian,-20,26281
14061,burst,-25,2543
14062,sp,-25,44236
14063,burst,-15,7096
14064,burst,-25,10225
14065,gaussian,-10,21382
14066,sp,-15,32392
14067,sp,-25,45739
14068,sp,-15,23616
14069,gaussian,-25,22207
14070,sp,-30,33563
14071,gaussian,-20,32268
14072,sp,-15,38186
14073,burst,-25,9185
14074,burst,-20,34345
14075,gaussian,-15,13845
14076,gaussian,-30,38914
14077,burst,-20,11964
14078,burst,-15,36899
14079,sp,-10,25969
14080,burst,-30,2037
14081,gaussian,-30,14222
14082,burst,-15,2745
14083,sp,-20,14201
14084,sp,-20,40170
14085,gaussian,-30,34383
14086,burst,-10,29985
14087,gaussian,-30,4341
14088,sp,-10,3125
14089,gaussian,-20,23188
14090,burst,-20,14739
14091,burst,-10,25084
14092,burst,-25,333
14093,sp,-20,47931
14094,sp,-10,44588
14095,gaussian,-10,30363
14096,sp,-25,10539
14097,burst,-30,2510
14098,gaussian,-10,16164
14099,sp,-20,6620
14100,burst,-10,23159
14101,burst,-30,8493
14102,sp,-10,42349
14103,burst,-20,41655
14104,sp,-20,41591
14105,gaussian,-10,47916
14106,sp,-30,45908
14107,gaussian,-10,46095
14108,gaussian,-30,22125
14109,burst,-25,33452
14110,gaussian,-30,6971
14111,gaussian,-15,35722
14112,sp,-25,16979
14113,burst,-15,29966
14114,sp,-30,22567
14115,burst,-10,31917
14116,burst,-20,34599
14117,sp,-30,41335
14118,burst,-20,28757
14119,sp,-20,17484
14120,gaussian,-30,35505
14121,sp,-25,40518
14122,gaussian,-15,7282
14123,burst,-30,10756
14124,gaussian,-10,13648
14125,burst,-15,21098
14126,sp,-10,36160
14127,gaussian,-30,47375
14128,burst,-30,28219
14129,sp,-20,16934
14130,burst,-10,36717
14131,gaussian,-10,40375
14132,gaussian,-30,9991
14133,gaussian,-30,12233
14134,gaussian,-20,47604
14135,burst,-15,48750
14136,burst,-10,25553
14137,gaussian,-10,5906
14138,sp,-25,7339
14139,gaussian,-25,28575
14140,burst,-15,18055
14141,sp,-25,1169
14142,sp,-20,27005
14143,sp,-20,14447
14144,sp,-25,37880
14145,burst,-20,35908
14146,sp,-15,44793
14147,sp,-15,27803
14148,sp,-10,12278
14149,gaussian,-15,23593
14150,gaussian,-15,16185
14151,gaussian,-15,17037
14152,gaussian,-10,48270
14153,burst,-25,40055
14154,gaussian,-10,20507
14155,burst,-20,13686
14156,gaussian,-30,29736
14157,sp,-30,36559
14158,burst,-25,20821
14159,sp,-15,21121
14160,sp,-25,21335
14161,gaussian,-10,33082
14162,sp,-10,45362
14163,sp,-30,19423
14164,gaussian,-30,12221
14165,burst,-10,15074
14166,sp,-15,28151
14167,gaussian,-30,34718
14168,sp,-25,24695
14169,burst,-15,6669
14170,sp,-10,36186
14171,gaussian,-10,19135
14172,gaussian,-15,31984
14173,gaussian,-10,47872
14174,burst,-10,17724
14175,gaussian,-25,28174
14176,gaussian,-20,7161
14177,gaussian,-10,15012
14178,sp,-10,10761
14179,burst,-25,34939
14180,gaussian,-15,47288
14181,sp,-25,38011
14182,gaussian,-25,8503
14183,sp,-20,37436
14184,sp,-30,5558
14185,sp,-15,2973
14186,gaussian,-15,22292
14187,gaussian,-20,20441
14188,sp,-25,19770
14189,sp,-20,16120
14190,sp,-30,48457
14191,sp,-15,49768
14192,burst,-25,36365
14193,gaussian,-30,45846
14194,burst,-20,7431
14195,burst,-30,467
14196,burst,-15,42579
14197,gaussian,-15,14319
14198,gaussian,-25,35754
14199,gaussian,-30,36634
14200,gaussian,-30,48454
14201,gaussian,-25,30290
14202,sp,-25,11231
14203,sp,-15,43736
14204,burst,-10,48964
14205,sp,-15,27518
14206,burst,-10,11915
14207,burst,-20,36960
14208,burst,-30,15663
14209,burst,-20,34027
14210,gaussian,-20,41592
14211,sp,-15,13595
14212,burst,-15,42949
14213,burst,-15,44982
14214,burst,-10,6890
14215,sp,-15,43475
14216,gaussian,-10,447
14217,gaussian,-15,28215
14218,sp,-20,3204
14219,burst,-30,47360
14220,gaussian,-30,46365
14221,gaussian,-15,27926
14222,sp,-15,1264
14223,burst,-25,6199
14224,burst,-25,21954
14225,sp,-30,29083
14226,burst,-20,12331
14227,burst,-20,20854
14228,sp,-20,10542
14229,gaussian,-25,16976
14230,gaussian,-25,38815
14231,gaussian,-20,5017
14232,sp,-30,13177
14233,burst,-25,13728
14234,burst,-20,20733
14235,sp,-30,20531
14236,burst,-25,5769
14237,gaussian,-25,14213
14238,burst,-25,22359
14239,burst,-20,29624
14240,gaussian,-10,41367
14241,gaussian,-30,14964
14242,sp,-10,43522
14243,sp,-15,33746
14244,burst,-30,49995
14245,burst,-15,14852
14246,gaussian,-10,20634
14247,burst,-20,21472
14248,sp,-25,27602
14249,sp,-25,43158
14250,sp,-15,15109
14251,gaussian,-20,2782
14252,burst,-25,32440
14253,burst,-20,40423
14254,sp,-25,26600
14255,sp,-20,35579
14256,gaussian,-25,48833
14257,gaussian,-15,27109
14258,gaussian,-10,2016
14259,sp,-10,12664
14260,burst,-25,13078
14261,burst,-30,2778
14262,burst,-30,34400
14263,sp,-10,32815
14264,burst,-15,6633
14265,gaussian,-15,28621
14266,gaussian,-30,30812
14267,burst,-15,13515
14268,sp,-10,42311
14269,burst,-25,22513
14270,sp,-30,38914
14271,sp,-30,17480
14272,burst,-10,9488
14273,sp,-20,39874
14274,sp,-25,9417
14275,burst,-10,37884
14276,gaussian,-15,35033
14277,sp,-25,8858
14278,sp,-10,38869
14279,sp,-10,48880
14280,burst,-30,40818
14281,gaussian,-10,34315
14282,sp,-15,40797
14283,sp,-20,34121
14284,gaussian,-25,45347
14285,burst,-30,2095
14286,gaussian,-30,36210
14287,gaussian,-15,47312
14288,burst,-10,5383
14289,gaussian,-20,45565
14290,gaussian,-15,23251
14291,gaussian,-30,8643
14292,gaussian,-20,20407
14293,gaussian,-25,7267
14294,sp,-25,47409
14295,gaussian,-10,42938
14296,sp,-20,23138
14297,sp,-30,48895
14298,sp,-30,48816
14299,burst,-20,1562
14300,gaussian,-25,28452
14301,burst,-15,20927
14302,sp,-15,36121
14303,burst,-20,22866
14304,sp,-30,1342
14305,burst,-25,6510
14306,sp,-15,4019
14307,burst,-15,48100
14308,gaussian,-25,11794
14309,gaussian,-25,38557
14310,burst,-20,27799
14311,sp,-15,31847
14312,burst,-15,15179
14313,burst,-10,11967
14314,sp,-30,19638
14315,gaussian,-10,1203
14316,gaussian,-25,46253
14317,gaussian,-20,15443
14318,sp,-10,46609
14319,burst,-20,7837
14320,gaussian,-25,31926
14321,sp,-15,25905
14322,gaussian,-25,4717
14323,burst,-20,5451
14324,burst,-15,33479
14325,gaussian,-20,45216
14326,burst,-25,38164
14327,burst,-10,25628
14328,gaussian,-30,11506
14329,sp,-25,3029
14330,gaussian,-10,27688
14331,burst,-30,35355
14332,sp,-10,25898
14333,burst,-25,3999
14334,burst,-25,6957
14335,gaussian,-10,10286
14336,burst,-10,8428
14337,gaussian,-30,6269
14338,sp,-10,14659
14339,burst,-10,12225
14340,gaussian,-10,10450
14341,gaussian,-30,23237
14342,sp,-20,49489
14343,burst,-10,49006
14344,sp,-20,16766
14345,sp,-30,49971
14346,sp,-20,38552
14347,sp,-15,11043
14348,gaussian,-20,25475
14349,sp,-25,36118
14350,sp,-30,25764
14351,gaussian,-15,49807
14352,gaussian,-30,31261
14353,sp,-10,31629
14354,burst,-10,2790
14355,sp,-10,37883
14356,sp,-15,26004
14357,gaussian,-20,35985
14358,burst,-30,29534
14359,burst,-15,7331
14360,burst,-30,15860
14361,gaussian,-15,5153
14362,burst,-30,9261
14363,sp,-25,31031
14364,gaussian,-30,45195
14365,sp,-30,41986
14366,sp,-20,587
14367,sp,-20,11721
14368,sp,-30,9662
14369,sp,-10,1541
14370,gaussian,-15,31567
14371,burst,-25,38596
14372,burst,-15,47265
14373,burst,-20,19631
14374,burst,-15,48450
14375,sp,-10,17363
14376,burst,-10,8213
14377,sp,-20,3370
14378,sp,-30,25771
14379,sp,-15,47588
14380,sp,-10,9179
14381,gaussian,-25,15870
14382,gaussian,-25,35688
14383,burst,-10,28065
14384,burst,-20,47548
14385,burst,-10,30236
14386,burst,-25,46183
14387,sp,-20,31194
14388,burst,-10,34196
14389,burst,-10,17446
14390,sp,-20,20212
14391,burst,-15,1199
14392,gaussian,-15,29905
14393,burst,-10,5134
14394,sp,-25,14097
14395,burst,-20,186
14396,sp,-30,44546
14397,sp,-25,2125
14398,burst,-15,42334
14399,gaussian,-30,26782
14400,gaussian,-25,29511
14401,sp,-30,27390
14402,burst,-10,4512
14403,gaussian,-25,11894
14404,sp,-15,23284
14405,burst,-25,32708
14406,sp,-10,45512
14407,gaussian,-30,47279
14408,gaussian,-30,29401
14409,burst,-20,17009
14410,sp,-15,12358
14411,burst,-15,46707
14412,sp,-10,17509
14413,sp,-20,20529
14414,sp,-15,24451
14415,burst,-10,47671
14416,gaussian,-20,25782
14417,burst,-15,49653
14418,gaussian,-30,31310
14419,burst,-20,39775
14420,sp,-10,13273
14421,gaussian,-30,16032
14422,gaussian,-30,12134
14423,sp,-25,30754
14424,burst,-30,22167
14425,sp,-25,1209
14426,sp,-20,48880
14427,sp,-10,35511
14428,burst,-20,46435
14429,sp,-25,33963
14430,gaussian,-25,39963
14431,sp,-10,30268
14432,sp,-25,27262
14433,burst,-15,29925
14434,burst,-15,29954
14435,sp,-15,39140
14436,gaussian,-20,10574
14437,sp,-10,46904
14438,gaussian,-30,11526
14439,gaussian,-15,14804
14440,burst,-20,31005
14441,burst,-25,38377
14442,burst,-15,32629
14443,burst,-10,35937
14444,burst,-25,36622
14445,burst,-15,40202
14446,sp,-10,34223
14447,sp,-20,34165
14448,gaussian,-30,19308
14449,sp,-20,12096
14450,burst,-20,24048
14451,gaussian,-10,31988
14452,sp,-20,38492
14453,burst,-25,25758
14454,gaussian,-10,14673
14455,gaussian,-10,33067
14456,gaussian,-10,8257
14457,sp,-30,22070
14458,gaussian,-10,18735
14459,sp,-20,18156
14460,gaussian,-30,37377
14461,burst,-25,24601
14462,gaussian,-25,36804
14463,gaussian,-25,45893
14464,sp,-10,162
14465,burst,-15,3460
14466,burst,-25,3091
14467,gaussian,-15,29385
14468,burst,-30,40242
14469,sp,-10,36335
14470,sp,-15,34385
14471,gaussian,-30,38273
14472,burst,-20,27500
14473,gaussian,-25,30306
14474,gaussian,-20,27463
14475,sp,-25,5275
14476,sp,-20,24315
14477,gaussian,-30,21
14478,sp,-10,15181
14479,burst,-30,43750
14480,gaussian,-10,36545
14481,gaussian,-25,33849
14482,burst,-15,16137
14483,sp,-20,36697
14484,sp,-15,13101
14485,gaussian,-30,30704
14486,burst,-25,30286
14487,burst,-30,29299
14488,burst,-10,779
14489,sp,-15,10340
14490,sp,-20,33706
14491,sp,-20,38609
14492,gaussian,-25,25340
14493,gaussian,-20,14065
14494,burst,-10,9154
14495,gaussian,-25,38009
14496,gaussian,-15,22850
14497,sp,-10,12696
14498,burst,-15,20958
14499,burst,-15,36860
14500,burst,-10,497
14501,sp,-10,3747
14502,sp,-25,42399
14503,gaussian,-15,19705
14504,sp,-15,45216
14505,burst,-25,6307
14506,sp,-15,8076
14507,gaussian,-30,10643
14508,gaussian,-25,44615
14509,gaussian,-15,15706
14510,gaussian,-20,33398
14511,sp,-30,5357
14512,sp,-10,1809
14513,sp,-20,18716
14514,burst,-10,29257
14515,burst,-20,44230
14516,burst,-25,38078
14517,burst,-15,19588
14518,gaussian,-25,34357
14519,gaussian,-25,32158
14520,sp,-25,35831
14521,gaussian,-25,25296
14522,gaussian,-10,39534
14523,burst,-10,38590
14524,burst,-10,24899
14525,sp,-20,15506
14526,sp,-25,16135
14527,burst,-25,10000
14528,burst,-10,20751
14529,gaussian,-25,36094
14530,sp,-15,19742
14531,burst,-20,16593
14532,burst,-30,23380
14533,burst,-20,32384
14534,sp,-15,28127
14535,burst,-15,7357
14536,gaussian,-15,11636
14537,burst,-20,32220
14538,sp,-25,33043
14539,sp,-15,5240
14540,burst,-10,20443
14541,burst,-25,44150
14542,burst,-20,4954
14543,sp,-30,44361
14544,sp,-20,28645
14545,sp,-10,814
14546,gaussian,-25,7130
14547,gaussian,-30,11706
14548,burst,-30,40888
14549,burst,-30,45675
14550,gaussian,-30,31423
14551,sp,-15,44164
14552,burst,-25,34227
14553,sp,-15,6974
14554,gaussian,-30,34528
14555,sp,-30,44034
14556,burst,-10,4683
14557,gaussian,-15,18314
14558,gaussian,-20,2793
14559,sp,-15,34921
14560,gaussian,-15,6223
14561,gaussian,-10,2532
14562,gaussian,-25,23652
14563,sp,-30,1933
14564,sp,-25,22694
14565,gaussian,-25,10853
14566,sp,-30,33231
14567,sp,-25,7837
14568,burst,-10,17881
14569,sp,-15,23919
14570,sp,-20,18219
14571,gaussian,-30,30107
14572,sp,-10,24384
14573,burst,-20,16045
14574,sp,-15,24652
14575,sp,-15,28440
14576,sp,-15,21065
14577,burst,-10,11217
14578,sp,-10,9700
14579,gaussian,-30,34662
14580,sp,-30,34355
14581,gaussian,-15,11414
14582,sp,-15,44442
14583,burst,-15,42816
14584,sp,-25,35538
14585,gaussian,-10,31323
14586,sp,-15,5838
14587,burst,-10,37045
14588,gaussian,-20,3653
14589,burst,-20,14763
14590,sp,-20,8851
14591,sp,-25,1239
14592,sp,-15,5483
14593,gaussian,-20,6725
14594,burst,-10,6484
14595,burst,-20,33033
14596,burst,-15,35453
14597,burst,-15,17324
14598,sp,-20,44666
14599,burst,-20,48559
14600,gaussian,-15,3718
14601,burst,-20,7256
14602,burst,-20,23453
14603,burst,-10,47201
14604,sp,-30,36919
14605,burst,-25,49373
14606,sp,-10,26908
14607,sp,-20,40380
14608,gaussian,-10,17361
14609,sp,-25,3879
14610,sp,-10,13782
14611,burst,-30,13689
14612,sp,-10,4889
14613,burst,-20,37346
14614,burst,-20,29043
14615,sp,-25,47873
14616,gaussian,-30,28996
14617,burst,-10,6388
14618,gaussian,-15,37838
14619,gaussian,-30,33370
14620,sp,-25,34131
14621,sp,-25,16749
14622,gaussian,-20,38312
14623,burst,-10,15790
14624,gaussian,-30,41900
14625,sp,-25,9077
14626,burst,-20,24961
14627,sp,-30,31393
14628,gaussian,-20,43860
14629,gaussian,-25,44650
14630,burst,-30,14863
14631,gaussian,-25,49243
14632,burst,-20,23051
14633,gaussian,-30,48594
14634,gaussian,-10,41699
14635,gaussian,-20,27019
14636,gaussian,-15,23923
14637,burst,-25,34542
14638,burst,-15,46912
14639,gaussian,-25,36612
14640,sp,-15,18633
14641,sp,-15,26550
14642,sp,-30,40566
14643,burst,-30,35319
14644,burst,-15,37093
14645,gaussian,-10,16055
14646,gaussian,-20,38607
14647,sp,-10,32561
14648,gaussian,-20,21412
14649,gaussian,-20,18798
14650,gaussian,-30,27167
14651,burst,-15,37597
14652,sp,-20,26826
14653,sp,-15,40367
14654,gaussian,-20,22690
14655,gaussian,-30,44044
14656,gaussian,-30,28644
14657,sp,-30,10033
14658,burst,-15,38721
14659,gaussian,-25,23407
14660,burst,-15,22429
14661,gaussian,-10,22177
14662,burst,-10,18135
14663,sp,-15,31983
14664,sp,-15,21088
14665,gaussian,-15,29300
14666,burst,-20,17393
14667,burst,-30,4128
14668,burst,-20,18363
14669,burst,-30,28559
14670,sp,-15,15583
14671,sp,-30,49931
14672,burst,-25,12466
14673,gaussian,-25,3390
14674,gaussian,-30,43442
14675,gaussian,-20,45404
